rule,phrase
1,trade show
1,business customer
1,service provider
1,service charge
1,payment
1,account balance
1,account
1,theme
1,slogan
1,location
1,duration
1,advertisement
1,speaker
1,participant
1,exhibitor
1,observer
1,booth
1,conference room
1,seminar
1,reception
1,trade show material
1,event
1,organizer
1,person
1,organization
1,contact information
1,website
1,domain
1,event organization staff
1,keynote address
1,proposal
1,committee
1,reviewer
1,status
1,product
1,service
1,size
1,registration
1,fee
1,design
1,creation
1,promotion
1,on site registration
2,types of participants
2,status of a proposal
2,committee of reviewers
2,size of the booth
2,duration of the event
2,list of predefined domains
3,create
3,promote
3,organize
3,run
3,contact
3,record
3,maintain
3,invite
3,register
3,distribute
3,exhibit
3,review
3,evaluate
3,request
3,rent
3,attend
3,belong to
3,add
3,remove
3,set up
4,national
4,international
4,pending review
4,accepted
4,rejected
4,large
4,medium
4,small
4,on site
4,invited
4,selected
5,one or more
6,event has organizer
6,event has contact information
6,event has website
7,involves
7,including
9,a trade show can be regarded as an event
9,organizer is a person or an organization
