rule,phrase
1,rental location
1,metropolitan area
1,passenger car
1,vehicle rental
1,rental fleet
1,make
1,model
1,price class
1,rental plan
1,daily unlimited miles plan
1,weekend 10% discount plan
1,gear change
1,rental price
1,reservation
1,reservation form
1,file cabinet
1,deposit
1,contract
1,block reservation
1,invoice
1,rental charge
1,credit card
1,credit card processing company
1,salesperson
1,preventive maintenance
1,damage
1,repair
1,rental car purchase
1,disposal
1,depreciation
1,customer
1,manufacturer
1,location
1,additional charge
2,forms of vehicle rentals
2,makes of cars
2,models of car
2,number of price classes
2,number of rental plans
2,models of a different make
2,time of reservation
2,period of time
2,depreciation of the rental cars
2,invoices for all rentals
3,taken from
3,returned to
3,branch out into
3,group into
3,select
3,rent
3,display
3,process
3,archive
3,void
3,honor
3,make
3,check out
3,open
3,settle
3,send to
3,pay
3,sign
3,cover
3,satisfy
3,handle
3,show up
3,repair
3,maintain
3,track
4,available
4,not available
4,rented out
4,voided
4,automatic
4,manual
4,two doors
4,four doors
4,sedan
4,hatchback
4,in person
4,by phone
4,purchase
4,maintenance
4,disposal
5,a number of
5,several
5,one or more
5,a small number of
6,has
9,passenger car is a kind of vehicle rental
