rule,phrase
1,trade show
1,theme
1,slogan
1,location
1,duration
1,advertisement activities
1,event
1,organizer
1,contact information
1,website
1,domain
1,participant
1,event organization staff
1,speaker
1,exhibitor
1,observer
1,registration
1,fee
1,NTSS staff
1,invited speaker
1,keynote address
1,selected speaker
1,proposal
1,committee
1,reviewer
1,status of a proposal
1,pending review
1,accepted
1,rejected
1,product
1,service
1,booth
1,size of the booth
1,large
1,medium
1,small
2,size of the booth
2,status of a proposal
3,create
3,promote
3,organize
3,run
3,design
3,select
3,advertise
3,invite
3,register
3,create
3,prepare
3,set up
3,distribute
3,record
3,maintain
3,belong to
3,attend
3,charge
3,pay
3,give
3,evaluate
3,review
3,exhibit
3,rent
3,request
3,visit
4,pending review
4,accepted
4,rejected
4,large
4,medium
4,small
4,invited
4,selected
5,whole duration
9,trade show can be regarded as an event
9,organizer can be a person or an organization
9,event can belong to one or more predefined domains
