rule,phrase
1,rental location
1,vehicle
1,passenger car
1,make
1,model
1,price class
1,rental fleet
1,rental plan
1,daily unlimited miles plan
1,weekend 10% discount plan
1,gear change
1,doors
1,reservation
1,reservation form
1,contract
1,deposit
1,block reservation
1,invoice
1,rental
1,rental charge
1,credit card
1,credit card processing company
1,maintenance
1,repair
1,purchase
1,disposal
1,depreciation
1,manufacturer
1,salesperson
1,customer
1,employer
1,additional charge
1,rental price
1,options
1,file cabinet
2,forms of vehicle rentals
2,makes of cars
2,models of car
2,number of rental locations
2,number of rental plans
2,number of price classes
2,model of car
2,types of vehicle
2,depreciation of the rental cars
2,period of time
2,time of reservation
3,taken from
3,returned to
3,branch out into
3,grouped into
3,selected
3,rented out
3,reserved
3,voided
3,honored
3,checked out
3,opened
3,settled
3,sent to
3,processed
3,repaired
3,kept track of
3,purchased
3,disposed
3,sign
3,pay
3,make
3,satisfy
4,available
4,not available
4,rented out
4,voided
4,opened
4,automatic
4,manual
4,two doors
4,four doors
4,sedan
4,hatchback
4,in person
4,by phone
4,daily
5,several
5,one or more
5,a number of
5,two
5,four
6,make has models
6,invoice has rentals
9,passenger car is a kind of vehicle
