rule,phrase
1,rental location
1,vehicle
1,passenger car
1,make
1,model
1,rental fleet
1,price class
1,rental plan
1,reservation
1,reservation form
1,contract
1,deposit
1,invoice
1,rental
1,rental charge
1,credit card
1,credit card processing company
1,customer
1,salesperson
1,manufacturer
1,gear change
1,door
1,transmission
1,option
1,block reservation
1,maintenance
1,repair
1,damage
1,disposal
1,depreciation
1,purchase
1,file cabinet
1,employer
1,company
2,forms of vehicle rentals
2,makes of cars
2,models of car
2,number of rental plans
2,number of rental locations
2,period of time
2,depreciation of the rental cars
2,purchase of the rental car
2,repair of the rental car
2,maintenance of the rental car
2,disposal of the rental car
3,operate
3,taken from
3,returned to
3,branch out into
3,select
3,rented out
3,make reservations
3,process
3,archive
3,voided
3,honored
3,checked out
3,opened
3,settle
3,sent to
3,pays
3,processed
3,repaired
3,keep track of
3,grouped into
4,daily unlimited miles plan
4,weekend 10% discount plan
4,automatic
4,manual
4,two doors
4,four doors
4,sedan
4,hatchback
4,in person
4,by phone
4,available
4,rented out
4,voided
5,several
5,one or more
5,a number of
5,each
5,more than a given period of time
6,make has models
6,model has price class
6,reservation has rental
6,invoice has rentals
6,car has options
7,grouped into
7,including
8,file cabinet
9,passenger car is a kind of vehicle
