label,element,arg1,arg2
C,library,
C,loan item,
C,customer,
C,member,
C,membership card,
C,member number,
C,details,
C,name,
C,address,
C,date of birth,
C,subject section,
C,classification mark,
C,bar code,
C,language tape,
C,book,
C,title language,
C,level,
C,title,
C,author,
C,current loan,
C,bar code reader,
C,membership,
C,book bar code,
C,record,
C,number of subject sections,
C,types of loan items,
C,number of items,
C,update of records,
C,issue,
C,show,
C,kept,
C,denoted,
C,borrow,
C,reserved,
C,renewed,
C,extend,
C,scanned,
C,entered,
C,read,
C,stamped,
C,searched,
C,identified,
C,french,
C,beginner,
C,daily,
C,valid,
C,two,
C,maximum of 8,
C,less than 8,
C,a number of,
C,has a title language,
C,has a title and author(s),
C,made up of,
C,customer is known as a member,
C,language tapes and books are two types of loan items
