rule,phrase
1,library
1,loan item
1,customer
1,member
1,membership card
1,member number
1,name
1,address
1,date of birth
1,subject section
1,classification mark
1,bar code
1,language tape
1,book
1,title
1,language
1,level
1,author
1,current loan
1,daily update
2,number of items
3,borrow
3,reserve
3,renew
3,issue
3,scan
3,extend
3,stamp
3,identify
3,search
4,valid
4,beginner
5,maximum of 8
5,8
5,less than 8
6,has a membership card
6,has a name
6,has an address
6,has a date of birth
6,has a title
6,has an author
6,has a language
6,has a level
7,is made up of
9,is known as
9,there are two types of loan items
