rule,phrase
1,rental location
1,vehicle
1,passenger car
1,make
1,model
1,price class
1,rental fleet
1,rental plan
1,reservation
1,reservation form
1,contract
1,invoice
1,rental
1,rental charge
1,credit card
1,credit card processing company
1,deposit
1,additional charge
1,rental price
1,salesperson
1,customer
1,manufacturer
1,block reservation
1,gear change
1,transmission
1,doors
1,purchase
1,repair
1,maintenance
1,disposal
1,depreciation
1,damage
1,preventive maintenance
1,daily unlimited miles plan
1,weekend 10% discount plan
1,file cabinet
1,employer
1,company
2,forms of vehicle rentals
2,makes of car
2,models of car
2,types of X
2,number of rental locations
2,number of rental plans
2,number of price classes
2,models of a different make
2,period of time
2,time of reservation
2,invoices for all rentals
2,information on the models of car
2,depreciation of the rental cars
2,purchase of rental car
2,repair of rental car
2,maintenance of rental car
2,disposal of rental car
3,operate
3,taken from
3,returned to
3,branch out into
3,group into
3,select
3,rent
3,reserve
3,process
3,archive
3,void
3,honor
3,check out
3,open
3,settle
3,send
3,pay
3,charge
3,repair
3,maintain
3,keep track of
3,sign
3,make
3,cover
3,satisfy
4,available
4,not available
4,rented out
4,voided
4,opened
4,automatic
4,manual
4,two doors
4,four doors
4,sedan
4,hatchback
4,in person
4,by phone
4,daily
4,unlimited
5,a number of
5,several
5,one or more
5,two
5,four
6,make has models
6,invoice has rentals
6,reservation has period of time
7,grouped into
9,passenger car is a kind of vehicle
